text,label
"включи свет в спальне",turn_on_light
"сделай свет ярче в зале",turn_on_light
"зажги лампу в комнате",turn_on_light
"включи свет на кухне",turn_on_light
"включи свет на улице",turn_on_light
"включи свет на балконе",turn_on_light
"включи свет в туалете",turn_on_light
"свет в гостиной включи",turn_on_light
"дай свет в коридоре",turn_on_light
"освети зал",turn_on_light
"включи лампочку в ванной",turn_on_light
"включи свет повсюду",turn_on_light
"хочу свет в спальне",turn_on_light
"подними яркость света в комнате",turn_on_light
"свет включи на полную",turn_on_light
"сделай свет потише",turn_on_light
"давай свет на 50 процентов",turn_on_light
"включи свет, мне темно",turn_on_light
"включи лампу в детской",turn_on_light

"выключи свет в комнате",turn_off_light
"погаси лампу в спальне",turn_off_light
"сделай темнее в зале",turn_off_light
"выключи свет на кухне",turn_off_light
"свет погаси в коридоре",turn_off_light
"отключи свет в гостиной",turn_off_light
"выключи лампочку",turn_off_light
"свет выключи, пожалуйста",turn_off_light
"выключи свет повсюду",turn_off_light
"сделай темно в комнате",turn_off_light
"выключи свет, уже поздно",turn_off_light
"погаси свет в детской",turn_off_light
"свет не нужен, выключи",turn_off_light
"сделай полумрак в зале",turn_off_light
"выключи свет на 30 процентов",turn_off_light

"поставь температуру на 22 градуса",set_temperature
"сделай тепло в спальне, 24 градуса",set_temperature
"установи 19 градусов в зале",set_temperature
"хочу 21 градус в комнате",set_temperature
"сделай прохладно, 18 градусов",set_temperature
"подними температуру до 23",set_temperature
"включи отопление на 25 градусов",set_temperature
"охлади комнату до 20",set_temperature
"температура 20 градусов, пожалуйста",set_temperature
"сделай в гостиной 22 градуса",set_temperature
"установи кондиционер на 23 градуса",set_temperature
"влючи кондей на 20 градусов",set_temperature
"выставь температуру 24 градуса",set_temperature
"сделай комнату теплее, 26 градусов",set_temperature
"понизь температуру на 3 градуса",set_temperature
"включи кондиционер похолоднее",set_temperature
"включи кондиционер прохдалнее",set_temperature
"включи кондиционер потеплее",set_temperature
"включи кондиционер в режим осушения",set_temperature
"включи кондиционер в режим охлаждения",set_temperature

"включи кондиционер жарко",turn_on_conditioner
"включи кондей в спальне",turn_on_conditioner
"запусти кондишку",turn_on_conditioner
"включи прохладу",turn_on_conditioner
"охлади комнату, включи кондей",turn_on_conditioner
"кондиционер включи, пожалуйста",turn_on_conditioner
"запусти кондей в зале",turn_on_conditioner
"включи вентилятор и кондей",turn_on_conditioner
"включи кондиционер на кухне",turn_on_conditioner
"включи кондей на кухне",turn_on_conditioner
"включи кондишку на кухне",turn_on_conditioner
"сделай прохладно",turn_on_conditioner
"включи климат-контроль",turn_on_conditioner
"дай прохладу",turn_on_conditioner
"охлади помещение",turn_on_conditioner
"включи кондей жара в доме",turn_on_conditioner
"сделай холодно в гостиной",turn_on_conditioner
"включи кондиционер так надо",turn_on_conditioner

"выключи кондей",turn_off_conditioner
"выключи кондишку",turn_off_conditioner
"выключи кондиционер",turn_off_conditioner
"отключи кондей",turn_off_conditioner
"отключи кондишку",turn_off_conditioner
"отключи кондиционер",turn_off_conditioner
"отключи кондиционер в комнате",turn_off_conditioner
"отключи кондиционер в зале",turn_off_conditioner
"отключи кондиционер на кухне",turn_off_conditioner
